,composition,Atoms,Ind Charges,reduced_formula,mp-id,icsd_id,Charge_prob_per_ele,Charge_prob,normalized_charge_prob,Intrastate,Interstate
3097,K8Pb5I3,"[8, 5, 3]","[[1], [-1], [-1]]",K8Pb5I3,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3098,K8Pb5I6,"[8, 5, 6]","[[1], [-1, 2], [-1]]",K8Pb5I6,[],[],"[1.0, 0.2688, 0.906]",0.2435328,0.594690265,FALSE,FALSE
3099,K8Pb6I5,"[8, 6, 5]","[[1], [-1, 2], [-1]]",K8Pb6I5,[],[],"[1.0, 0.26116666666666666, 0.906]",0.236617,0.57780236,FALSE,FALSE
3100,K8Pb7I1,"[8, 7, 1]","[[1], [-1], [-1]]",K8Pb7I,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3101,K8Pb7I4,"[8, 7, 4]","[[1], [-1, 2], [-1]]",K8Pb7I4,[],[],"[1.0, 0.2557142857142857, 0.906]",0.231677143,0.56573957,FALSE,FALSE
3102,K8Pb8I3,"[8, 8, 3]","[[1], [-1, 2], [-1]]",K8Pb8I3,[],[],"[1.0, 0.251625, 0.906]",0.22797225,0.556692478,FALSE,FALSE
3103,K8Pb9I2,"[8, 9, 2]","[[1], [-1, 2], [-1]]",K8Pb9I2,[],[],"[1.0, 0.24844444444444444, 0.906]",0.225090667,0.549655851,FALSE,FALSE
3104,K8Pb10I1,"[8, 10, 1]","[[1], [-1, 2], [-1]]",K8Pb10I,[],[],"[1.0, 0.2459, 0.906]",0.2227854,0.544026549,FALSE,FALSE
3105,K9Pb1I8,"[9, 1, 8]","[[1], [-1], [-1]]",K9PbI8,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3106,K9Pb2I7,"[9, 2, 7]","[[1], [-1], [-1]]",K9Pb2I7,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3107,K9Pb4I5,"[9, 4, 5]","[[1], [-1], [-1]]",K9Pb4I5,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3108,K9Pb5I4,"[9, 5, 4]","[[1], [-1], [-1]]",K9Pb5I4,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3109,K9Pb7I2,"[9, 7, 2]","[[1], [-1], [-1]]",K9Pb7I2,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3110,K9Pb8I1,"[9, 8, 1]","[[1], [-1], [-1]]",K9Pb8I,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
3111,K10Pb1I9,"[10, 1, 9]","[[1], [-1], [-1]]",K10PbI9,[],[],"[1.0, 0.223, 0.906]",0.202038,0.493362832,FALSE,FALSE
